app_name,category,appstore_link_url,img_src_url
aquapark.io,Games,https://apps.apple.com/us/app/aquapark-io/id1453989822?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,/autopush/us/itunes/charts/free-apps/images/2019/7/7e7e7c2ecf5d6d12be9d4facdaa2b73c36b53a2f4dd0e44aba36e67f6a15503d.jpg
Fun Race 3D,Games,https://apps.apple.com/us/app/fun-race-3d/id1462556579?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,/autopush/us/itunes/charts/free-apps/images/2019/7/f387da9b6f83677425c9ce78ace7c04f9c9ea28abf75bc2f0b816ea1955504e9.jpg
Picker 3D,Games,https://apps.apple.com/us/app/picker-3d/id1462317543?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,/autopush/us/itunes/charts/free-apps/images/2019/7/1fd21c81409bb873ecd371920d3c484d4b0ab2be9238799c97417a04d1847e42.jpg
Netflix,Entertainment,https://apps.apple.com/us/app/netflix/id363590051?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,/autopush/us/itunes/charts/free-apps/images/2019/7/f45fafce5793766a7155f2289d339065e5cb4b23f631bcfd9bd0ebbb7125d055.jpg
Touch the wall,Games,https://apps.apple.com/us/app/touch-the-wall/id1464879969?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,/autopush/us/itunes/charts/free-apps/images/2019/7/6975474bf1778633a27206f63a1b4788df875411550a2db50d2f0090febc94e5.jpg
Instagram,Photo & Video,https://apps.apple.com/us/app/instagram/id389801252?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,/autopush/us/itunes/charts/free-apps/images/2019/7/a24ea79b230ae281624a4a7e335479b190cdce589c68d7debe067d1be3f5038b.jpg
Polysphere,Games,https://apps.apple.com/us/app/polysphere/id1440756080?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,/autopush/us/itunes/charts/free-apps/images/2019/7/bd1b99e5e02e84bf7e7693ce037ab6cfba951eb4d49ee41856b6000ff1ede036.jpg
Pottery,Games,https://apps.apple.com/us/app/pottery/id1451304804?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,/autopush/us/itunes/charts/free-apps/images/2019/7/5c9c5a1e0f2deb41dd13275979a732a5a3248cc23f2e6d56973005a42e1707b9.jpg
Snapchat,Photo & Video,https://apps.apple.com/us/app/snapchat/id447188370?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,/autopush/us/itunes/charts/free-apps/images/2019/7/aa50276510ef648b073e8daa8459754e3e23c8695f24f1223eebad8b31fe05db.jpg
Google Maps - Transit & Food,Navigation,https://apps.apple.com/us/app/google-maps-transit-food/id585027354?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,/autopush/us/itunes/charts/free-apps/images/2019/7/f4e7aedfddb626a5e36784c26080d644c2dac176bf8a945ec2dc27429be61d5b.jpg
